address,amount
TP5PEeZTgWt84w5tB1exvS9hZuMoPGd8nV,40
TRDNKD1SKYbo9g4DvtbAsMrwM4TmeSVLEV,38
TVU7fV39p3qkdntRQubT7HM6yYoLM8pZho,38
TD6VPcmP6mEZSR3pVaVnh5yHfgkJaETjzy,38
TEG46ZFYqiAS7FUmuNbP5pMu2T34BDdXnk,37
TLC6Mh4bQWsjWGfUkb9f5nYeMHWk7omAyW,36
TDFdtwhQVtg18TjAtuvg4HjFWYcgFjSdVn,36
THUhSqLoqxDrQEZDCGScHXvSbrKSvKfa7F,36
TRXy7GFGLZGKvxLGY1SFHVTQ9Kse7Q9dFs,35
TMwxSxYrD8LLT7JinQ8nFyCHqEQNt8FPJv,35
TGeNQwFuNT9tCqpA8kKaokDgtFtjimA7sP,34
TBnim45Jk7cbDESmtjvAqhccujaPUTCgVz,34
TEdVEVTsN8PT8CN4yVXWHyRD5XnJUqj1f4,34
TAx1qmbrxM3DP6seNrAPxbPcsAwW9pWaif,33
TP3NTvQoD37evpYARrYLCGYW4ymXYFrqNX,30
TCnMbMLwoLV8TSkMzfbxpVJNro4xnUYj1y,30
TS1mU7yPBXeKxkmfLkRKbGgSv21j3FiKaw,30
TTDFic7YVcQX3iEEaW5CrF4ybBCcqd2iex,30
TWsGHGj9RpA3eq3pz1Nx1GvNredMMuxmvE,30
TWSYgxxJ1RGaZK7zymNinrGnQg5VWXiWvx,30
TAVZ5z4j6SeSgD9MjF5cb5KMa37vR3rgif,30
TWKm2m4VjBwRVdSu5RJe6WcHzJM9RrALPT,30
TPsZVfMrJb3Y1ByGZkptFeFEaGQwRUj3sQ,29
TWnykZotdzTwdjhGjeEYXuKLouULjVeiD6,27
TY3ZMYVMK9DyZU4ZmUZpMMvnZUEMHJaHLZ,27
TD7XBjFZhvioMDwfknxeDViY1fhFDuXR4f,26
TB1qqyHevN9xLvy4Ff7iEy9MptZosAvYkR,25
TJoW4J3YEvoHWExLSieiRskepWn9WoVYXU,25
TQdF1rnvp5ckx13jTDdxaq1cqYbw1LpJjm,25
TAFsQPELGP3R3Gidyq8ESCAW8ddENqwiEL,25
TXG9SDVMFifRydiGBxVE572QmqhhrJ4HTu,24
TNKHMi5W1TgKgZN5asaGy1EyepfGgumnnN,24
TFYtsMFWriYN1Ctrf5D1gdTS1eiabUm7NC,24
TReDHJKYFr5JjSHSZq1vcgnGuN1fNRVJjU,23
TLWbZHmZW3KGJr495sfbLbtsjkVLHKkQig,22
TSbYnrCZCXJiYDXiNpXehcPgNq4t8zF1wt,21
TZCaFhw15PRBNfkVBM9QkBGLHSgJ8RRQTT,21
TStFs4EGytJwGei4jzfNGLze7Jig8UAvD3,20
TL892UCV5eNRTTkFvTrsRQzjjgKxbzSipi,20
TSx5hARtTk7Wy78B6mnQna31NTT9w6vYa3,20
TL9zpFQDrjTMwhGeVocQmXZTJNUygu8j8E,20
TCXfHr9GjdAZ1RZxC1cnapYCuaM4HKTnf5,20
TKu9nGew6n2G88z58CAYMmNP6Dh8yJHj4H,20
TLBdVm3AW4BxLSBoncNNLRkemZhSvtv7LH,20
TQgUg71kPUHJak6umsJzxPFytBbxH9ro32,20
TL7SPnMLmK1hDBmYRJZWZvikj17sJ4F8kk,19
TWYEm3ZauuPqfM2yTScu4Jy7opfa2XK61k,19
TRaVLa1Uc3ooJGDn7LnCts8BibhfbyipJQ,19
TCH6AbMKwfrQRdo7KcYDza2wJcdFbrLuYK,19
TRSSxfWNv3LTrZxjUrVuBbkFgfEinFd1se,17
TZEh1Bp44EaxvgPqaXNxsVKQagzn2abFG4,17
TJpj7zQEUWJbrxcJ5bKGa9xLzBpPJEU8dS,16
TRTrwZrsNettcxyzVuKfvnXzh8QPF2LSaM,16
TE6vFP3wekoDnXPYH9wvkt21GVZuuGjgDN,15
TDP5gkKRNeXgjekXdWJZHzneviFfbo3y2J,15
TKQgb2d57umTQAcD1CSN1adpBXW9odsAWu,15
TYKg3r7yW4HrDGqdQHPKspWneCygYk3Yoe,15
TSXhQDJdeqa1hHwpa47wZyVGNuHnRoPiwM,15
TPSUXqcgMPRKCd9nJrjyyPvXXmLqG4jZg4,15
TKPoAidmxfZzGTCxe35UdMTueEFQAN73ys,15
TXk2dfNySLiEBHSwxnELoc22XLXzjmJ4uV,15
TUZXXTfcHhtBam1d8Rd1b6Pup4v5PnqgTz,15
TVA9neY6Jh24ZdB4zxv55ABNf8DHzVL6hd,15
TKJrim3g4FFv6M7Gk6yCMLrsfb5kcVSdUc,15
TNEW9zwt4iJPs41zUtWhV69Weiybj8qZc6,15
TP4cMowoVoHqPAV4DQdWXgcsCjYByMdTJ4,15
TERctgPPTnS7vLPcqFxYMHRVmD8Q8awUvk,15
TUgBPneCJ4pM3dU5Q1jtfkuEAmzUXZE8Y2,15
TMNy6V6UyiVQD9xXHU7cFWcmvQRRtetoBA,15
TAXMkw3z95HWu3jraH3sEdytYugwpUEPRs,15
TKrNrfJopP52DQXz11yT36WkYJFFAkoeFz,15
TYGmuFpQX2HAJnGQqFHFy9of5kAHW3P13V,15
TRPdxP7XpUC4p23UYaD5FHKogSP4JhCfZb,15
TMApZsV3YQNwx6PYxHcNEAgVf8AJaTtzNc,15
TUQxFiuXRysvEj47En66KJdBTVQABx4ojM,15
TCQxWHEvoieqsMCKwXR1hLSm7E38ZJ12KS,14
TRF5mi3uMsCj5opmy8xHjYhPELqFFsneaf,14
TCWHGFuRAuvmBE8ZhW1Xpsgi7c7iRndtCU,14
TYwPi3vZGwj9H143WEZYYvb5JPTPEAWzNv,13
TCZMWJZwYuesCsMxaTb1szzdyaCdZA2oog,13
TUiN2z6gggz3xyYY9xzwZ4m218cHKhgWko,13
TQ6y66adqJpdpmQenBNCx5Pacv6FiPYX5U,13
TVy9UJwrjzmdH5TX3mkPMP8HmroipboBVc,13
TSPP5Bgtaw3tLdhU3daT8YPPo1N1rhT1A1,13
THAgiwpyWCtv2uQm5YYo1bsowyiM3nvr9X,12
TQGyre9Qcma4ZDDZEK2woBTEMWFwibQjFk,12
TRixhupqqZAMGS6Fd3hBuxZcCd1Jai1Jda,12
TP3YVS6rmWEGAWFgeK2SZisZDKzN9cxmnH,12
TJtKQMJ8g5R5ZVFDmcdRsPAS6YaFt9U9dt,11
TUNyc6m7BVwc9kKbbya9CZUFFUJsvAeiZB,11
TQhSd8jad86C2LT5jRUWhuGLCK7hjhhw2L,11
TUW7raM5roQsapLv16THJQ8TT9QB9E5yxB,11
TWYJCjZ554vnkoM828ma9KTSMmWLovPdG7,11
TPrNidmYF3hgQp25mmLB7w311LewFbPHAA,11
TQxakSG8VuPqbgG1g9GR4agYnrbNmY5YY4,10
TXyaeB32xf9zpk3TJxs6a4sM676BpaMRQp,10
TQmJGw2A7pwt6wPLP5Qu6hvTPcyFaFNJfP,10
TGxwbvyzzREMZBMhwn7xZ2ExPSnnm4kMmb,10
TAS1y4HjygRSrwB32ZnmJvwpTC4vsTEkDE,10
TS7orBsieohVrH6sBnBKfV6AVLJ4GPTAmA,10
TRdpLVfgJ9JvCJeduY7TWJTwt2z2dqDEeL,10
TFQRVvDuNGV2QppSNR2NrnJWNKcH6ibRpo,10
TJnHet2YNj62ZPq6GoEfswZu12Q5iZFKcj,9
TW53AiwjxBw2BVqpUpcK2CM7JaSyVmAtYW,9
TX9Eto7cjxqHWWWt51qpUQgZ8Jer8Ae8by,9
TJTnoM6B51sd2EZpQ8ZANvkumUnYf4GBRy,9
TPuKx9t4KajmqkmpjEXbNtF7coqsK1DQpt,9
TLGtcxmCVZhd67Xxfvhyq5jXv2QbjLVGav,9
TDiFMgitda5hp4VyhofEVpzvcjLx4SFpfC,9
TBBngk92j3LZNEcEDzyvSuLs9GJSYsJrh1,9
TEdo4pAsbDq3D1h1RpVHAFA1AxfGCyLZtg,9
TGj7R17GDqanMwyrKnjdPH8yj2gnmxPqjh,9
TCkGH9UhGzdNxiguT9bHrSNSdiiKXjLMeG,9
TYXV7ogzZ2WiRBBGWtQEgcvE6w13p6gTeb,9
TXknmXo7WDVuFRW1byaV5TwLzQUkD3ZMiC,9
TYhmKCu634h5XRzbbYbPCyi8PDm3gDP8Pu,9
TQiDa47EvQ5jS5v2gsfgB68LfpZSFFACFY,9
TFP32yQKQGdMHTbJMk9AB5X2Jn7XTGEyTZ,9
TYK8hBTejEJTxxeXq7LH3jDn1Fpe7VzQSL,9
TBE4QgZ62mpFkcZwesUAsnEAZDGQ3g3j37,9
TWt5UVKfhdA59cag6HFNm6CyTGmqNSbiem,9
TKjZmBv7PpFXCrZQZnpYRScBGRn59a9x3z,9
TNCqBcto59VHx6W2Bxz4o4eRmQcW5mU9vj,9
TExtszxQZ1D1jToC8L3YY9fMS4zgFnNjPY,9
TQR8mmkcpd4YSYqmhz1ATnEdCMLyWBUBqz,9
TMU1czF2g45fGfepgxTS97Z5K2NGsi8Wz4,9
TMF2b8cFss5HsH2ar3zNkshJKcjxq2neyN,9
TJGPWwDhecujXkfVzfcg4pS7d2t6iLMfL9,9
TXbfzJnurL33LTcheo1BzBoLEpbnKjTkZm,9
TX4FGYre5HqmCm5HhW7ZXHGxMJP6UAwiBZ,9
TRDdnDDNBAdJ2F55R1Dymjs7pGWzVQaMhM,9
TMZs61KBvZKhEHnY8HQZdCK5CsJNvEcdpr,8
TCbVnP7ZECNTfJJ9mFd3LTS6w7eruDnhNr,8
TLPvMJnd4xDvSexp6XYhoH7vkZ3y7BLuUi,8
THEfpoSnN3fVBiLjN4Qp7UtED6o8tSyWiD,8
TH2mrc5dTnh5iMEKh5CJFFFLiChCBvBkty,8
TYerdiJ1wxsYJLd8Yds3kUG5km1BFwTizg,8
